"","X","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id","ntl_2003","ntl_2004","ntl_2005","ntl_2006","ntl_2007","ntl_2008","ntl_2009","ntl_2010","ntl_2011","ntl_2012","ntl_2013","ntl_2014","ntl_2015","ntl_2016"
"3",4,"UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2014",-1.4779664278,2014,2006,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",21,"UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2014",-1.6837682724,2014,2006,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",45,"UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2014",-1.2948615551,2014,2006,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",52,"UG200600000020",0.273579,31.631122,-1.45355155332314,24,"UG200600000020_2014",-1.3358079195,2014,2006,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",85,"UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2014",-2.62205576897,2014,2006,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",96,"UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2014",-2.18288016319,2014,2006,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",117,"UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2014",-1.96279072762,2014,2006,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",130,"UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2014",-1.57370471954,2014,2006,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",146,"UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2014",-1.87884879112,2014,2006,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",160,"UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2014",-2.13676333427,2014,2006,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",187,"UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2014",-2.40561914444,2014,2006,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",197,"UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2014",-2.33777570724,2014,2006,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",220,"UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2014",-1.93131816387,2014,2006,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",238,"UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2014",-1.90476405621,2014,2006,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",251,"UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2014",-2.00427222252,2014,2006,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",261,"UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2014",-0.677071273327,2014,2006,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
