"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"1","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2014",-0.97847288847,"2014","2006","2",0,1,0
"2","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2008",-1.38042008877,"2008","2006","2",0,0,0
"5","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2010",-1.6520870924,"2010","2006","2",0,0,0
"6","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2006",-1.18047702312,"2006","2006","2",0,0,0
"7","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2012",-1.99318110943,"2012","2006","2",0,1,0
"8","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2009",-1.50665318966,"2009","2006","2",0,0,0
"9","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2015",-1.87371897697,"2015","2006","2",0,1,0
"11","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2011",-1.37799787521,"2011","2006","2",0,1,0
"14","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2007",-1.08896386623,"2007","2006","2",0,0,0
"15","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2013",-1.67374944687,"2013","2006","2",0,1,0
"16","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2016",-1.63879537582,"2016","2006","2",0,1,0
"36","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2006",-0.746955990791,"2006","2006","13",0,0,0
"37","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2008",-0.617776572704,"2008","2006","13",0,0,0
"38","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2010",-0.855245649815,"2010","2006","13",0,0,0
"39","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2015",-0.613196313381,"2015","2006","13",0,1,0
"41","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2009",-0.793511688709,"2009","2006","13",0,0,0
"43","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2012",-0.87162733078,"2012","2006","13",0,1,0
"45","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2011",-0.648175537586,"2011","2006","13",0,1,0
"46","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2013",-0.0771913826466,"2013","2006","13",0,1,0
"47","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2007",-0.394110798836,"2007","2006","13",0,0,0
"48","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2016",-0.305968433619,"2016","2006","13",0,1,0
"49","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2014",0.0359718389809,"2014","2006","13",0,1,0
"52","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2016",-1.55437123775,"2016","2006","17",0,1,0
"54","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2009",-1.42249572277,"2009","2006","17",0,0,0
"57","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2013",-1.34413015842,"2013","2006","17",0,1,0
"58","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2006",-1.63540303707,"2006","2006","17",0,0,0
"59","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2008",-1.28328609467,"2008","2006","17",0,0,0
"60","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2012",-1.41035449505,"2012","2006","17",0,1,0
"63","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2015",-1.33152043819,"2015","2006","17",0,1,0
"64","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2007",-1.07609713078,"2007","2006","17",0,0,0
"65","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2014",-2.32731103897,"2014","2006","17",0,1,0
"67","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2011",-2.89507484436,"2011","2006","17",0,1,0
"68","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2010",-1.24226021767,"2010","2006","17",0,0,0
"71","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2008",-4.64660167694,"2008","2006","18",0,0,0
"72","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2006",-4.64660167694,"2006","2006","18",0,0,0
"73","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2014",-2.59205436707,"2014","2006","18",0,1,0
"76","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2016",-2.16138887405,"2016","2006","18",0,1,0
"77","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2011",-4.64660167694,"2011","2006","18",0,1,0
"78","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2009",-4.64660167694,"2009","2006","18",0,0,0
"79","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2012",-4.64660167694,"2012","2006","18",0,1,0
"80","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2007",-2.23770594597,"2007","2006","18",0,0,0
"81","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2015",-4.64660167694,"2015","2006","18",0,1,0
"83","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2010",-4.64660167694,"2010","2006","18",0,0,0
"85","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2013",-2.36005020142,"2013","2006","18",0,1,0
"87","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2011",-1.29257404804,"2011","2006","19",0,1,0
"88","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2009",-2.28898715973,"2009","2006","19",0,0,0
"89","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2012",-1.26291966438,"2012","2006","19",0,1,0
"91","UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2007",-1.80476653576,"2007","2006","19",0,0,0
