"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"65","UG200600000020",0.273579,31.631122,-1.45355155332314,24,"UG200600000020_2016",-0.928494274616,"2016","2006","14",0,1,0
"66","UG200600000020",0.273579,31.631122,-1.45355155332314,24,"UG200600000020_2010",-1.21552681923,"2010","2006","14",0,0,0
"68","UG200600000020",0.273579,31.631122,-1.45355155332314,24,"UG200600000020_2007",-1.9246931076,"2007","2006","14",0,0,0
"70","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2007",-2.16854524612,"2007","2006","17",0,0,0
"71","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2016",-2.54797291756,"2016","2006","17",0,1,0
"72","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2006",-1.86020207405,"2006","2006","17",0,0,0
"75","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2015",-1.14005792141,"2015","2006","17",0,1,0
"77","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2010",-2.01496887207,"2010","2006","17",0,0,0
"78","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2008",-2.01647949219,"2008","2006","17",0,0,0
"80","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2009",-2.23458266258,"2009","2006","17",0,0,0
"81","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2013",-2.51810479164,"2013","2006","17",0,1,0
"83","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2011",-2.28310656548,"2011","2006","17",0,1,0
"84","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2012",-2.07257819176,"2012","2006","17",0,1,0
"85","UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2014",-2.62205576897,"2014","2006","17",0,1,0
"87","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2011",-3.01499938965,"2011","2006","18",0,1,0
"88","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2009",-3.01499938965,"2009","2006","18",0,0,0
"89","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2013",-1.98588132858,"2013","2006","18",0,1,0
"91","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2010",-3.01499938965,"2010","2006","18",0,0,0
"94","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2007",-1.80057728291,"2007","2006","18",0,0,0
"95","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2015",-3.01499938965,"2015","2006","18",0,1,0
